Staffel,Thema,Begegnung,Erstellt am,Letzter post am,Posts,Views,Unterschiedliche Autoren,Likes,Wörter,Wähler gesamt

5,Bestes Spiel des Jahrzehnts,Achtelfinale,2019-11-21T05:12:55.380Z,2021-09-04T07:08:11.706Z,864,9000,44,2278,30696,103,Minecraft,51,Crusader Kings 2,52
5,Bestes Spiel des Jahrzehnts,Achtelfinale,2019-11-28T06:43:14.315Z,2020-07-08T19:42:25.559Z,92,2192,29,227,2395,85,Darkest Dungeon,41,Darkest Dungeon,44
5,Bestes Spiel des Jahrzehnts,Community Picks,2019-10-10T04:28:49.207Z,2019-10-23T17:34:13.199Z,395,3923,40,792,16181,80,Minecraft,19,Mini Metro,2,Motorsport Manager,0,Mount &Blade Warband,4,Nier,1,Ori and the Blind Forrest,2,Orwell,1,Outer Wilds,2,P.T.,1,"Papers, Please",0,Path of Exile,2,Pathologic 2,0,Payday 2,0,Persona 5,3,Pillars of Eternity,3,Pokemon Go,1,Portal 2,7,Prison architect,2,Pyre,1,Queers in Love at the End of the World,0,Rakuen,1,Red Dead Redemption II,5,Ridiculous Fishing,0,Rimworld,2,Saints Row 4,1,Sekiro,2,Shadow Tactics,2,Shenzhen I/O,0,Shovel Knight,1,Singularity,1,Skyrim,18,SOMA,0,Southpark: Stick of Truth,2,Spec Ops: The Line,0,Stellaris,1,Super Mario Galaxy 2,2,Super Mario Odyssey,1,Tales from the Borderlands,1,The Banner Saga,1,The Beginner’s Guide,2,The Binding of Isaac,2,The Cat Lady,1,The End is Nigh,0,The Last of Us,19,The Messenger,0,The Stanley Parable,3,The Walking Dead,0,The Witness,1,The Wolf Among Us,0,Thimbleweed Park,0,Threes,0,THUMPER,0,TitanFall 2,0,To the Moon,2,Torment Tides of Numnera,0,Total War - Shogun 2,1,Towerfall Ascension,0,Transistor,0,Uncharted,0,Uncharted 4,5,Undertale,1,Untitled Goose Game,1,Virginia,0,What Remains of Edith Finch,8,XCOM,2,XCOM 2,8,xenoblade chronicals 2,1
5,Bestes Spiel des Jahrzehnts,Stichwahl zur Abstimmung über das Abtimmungsprozedere bezüglich der Community-Picks,2019-10-07T06:27:38.461Z,2019-10-09T11:26:05.816Z,95,1437,19,206,3891,37,Gerald Köhler bestimmt die vier Titel (aus der Liste),17,"Normale Abstimmung, jeder hat vier Stimmen",20
6,Beste Designerin,Finale,2020-04-17T19:42:11.994Z,2020-12-14T15:56:32.627Z,11,870,8,22,448,52,Danielle Bunten,32,Brenda Romero,20
6,Beste Designerin,Halbfinale,2020-04-17T17:58:02.335Z,2020-04-18T21:32:22.511Z,50,1056,18,199,1182,33,Brenda Romero,22,Amy Hennig,11
6,Beste Designerin,Halbfinale,2020-04-17T17:58:02.335Z,2020-04-18T21:32:22.511Z,50,1056,18,199,1182,34,Danielle Bunten,18,Roberta Williams,16
6,Beste Designerin,Viertelfinale,2020-04-10T09:04:59.092Z,2020-04-19T11:34:48.290Z,78,1701,18,119,4720,52,Roberta Williams,39,Jade Raymond,13
6,Beste Designerin,Viertelfinale,2020-03-27T16:59:30.822Z,2020-04-09T13:41:50.987Z,67,1502,22,166,2928,65,Danielle Bunten,32,Kim Swift,33
6,Beste Designerin,Viertelfinale,2020-03-19T07:41:40.150Z,2020-03-27T19:33:27.356Z,18,612,11,59,496,49,Brenda Romero,37,Aya Kyogoku,12
6,Beste Designerin,Viertelfinale,2020-03-13T06:46:32.570Z,2020-03-21T00:12:54.215Z,98,1711,25,216,3852,57,Kellee Santiago,24,Amy Hennig,33
6,Beste Designerin,Communitypicks,2020-03-13T06:46:32.570Z,2020-03-21T00:12:54.215Z,98,1711,25,216,3852,47,Jenny Pankratz,6,Roberta Williams,16,Jane Jensen,5,Anna Anthropy,1,Christine Love,2,Nina Freeman,2,Jade Raymond,8,Lori Cole,1,Lorelei Shannon,0,Christy Marx,0,Rebecca Heineman,1,Kitty Horrorshow,5,Alyssa Finley,0,Emilia Schatz,0,Jane McGonigal,0,Auriea Harvey,0,Lizzy Magie,0
7,Bestes Strategiespiel,Finale,2020-08-22T07:25:01.954Z,2020-09-21T11:23:54.804Z,149,2663,22,375,7893,93,Civilization 2,50,XCOM 2,43
