"Mouse Trap",1981,"https://www.mobygames.com/game/mouse-trap",10,60.00
"QIX",1981,"https://www.mobygames.com/game/qix",60,72.00
"Scramble",1981,"https://www.mobygames.com/game/scramble",16,68.00
"Softporn Adventure",1981,"https://www.mobygames.com/game/softporn-adventure",19,62.00
"Stampede",1981,"https://www.mobygames.com/game/stampede",16,66.00
"Stargate",1981,"https://www.mobygames.com/game/stargate",24,68.00
"Super Cobra",1981,"https://www.mobygames.com/game/super-cobra",27,72.00
"Tempest",1981,"https://www.mobygames.com/game/tempest",22,62.00
"Tennis",1981,"https://www.mobygames.com/game/tennis___",11,48.00
"Ultima",1981,"https://www.mobygames.com/game/ultima",26,76.00
"Utopia",1981,"https://www.mobygames.com/game/utopia-",13,68.00
"Vanguard",1981,"https://www.mobygames.com/game/vanguard",22,78.00
"Venture",1981,"https://www.mobygames.com/game/venture",18,68.00
"Warlords",1981,"https://www.mobygames.com/game/warlords_",14,62.00
"Wizardry: Proving Grounds of the Mad Overlord",1981,"https://www.mobygames.com/game/wizardry-proving-grounds-of-the-mad-overlord",92,72.00
"Yars' Revenge",1981,"https://www.mobygames.com/game/yars-revenge",47,74.00
"Zork II: The Wizard of Frobozz",1981,"https://www.mobygames.com/game/zork-ii-the-wizard-of-frobozz",83,68.00
"3D Tanx",1982,"https://www.mobygames.com/game/3d-tanx",13,54.00
"Advanced Dungeons & Dragons Cartridge",1982,"https://www.mobygames.com/game/advanced-dungeons-dragons-cartridge",18,68.00
"Alien",1982,"https://www.mobygames.com/game/alien___",10,50.00
"Atlantis",1982,"https://www.mobygames.com/game/atlantis",31,70.00
"Barnstorming",1982,"https://www.mobygames.com/game/barnstorming",15,62.00
"Buck Rogers: Planet of Zoom",1982,"https://www.mobygames.com/game/buck-rogers-planet-of-zoom",62,64.00
"Bump 'N' Jump",1982,"https://www.mobygames.com/game/bump-n-jump",15,70.00
"BurgerTime",1982,"https://www.mobygames.com/game/burgertime",123,72.00
"Choplifter!",1982,"https://www.mobygames.com/game/choplifter",74,74.00
"Chopper Command",1982,"https://www.mobygames.com/game/chopper-command",15,78.00
"Cosmic Ark",1982,"https://www.mobygames.com/game/cosmic-ark",20,72.00
"Cosmic Crusader",1982,"https://www.mobygames.com/game/cosmic-crusader",14,70.00
"Deadline",1982,"https://www.mobygames.com/game/deadline",47,76.00
"Demon Attack",1982,"https://www.mobygames.com/game/demon-attack",87,74.00
"Dig Dug",1982,"https://www.mobygames.com/game/dig-dug",242,74.00
"Donkey Kong Junior",1982,"https://www.mobygames.com/game/donkey-kong-junior",111,66.00
"Dragonfire",1982,"https://www.mobygames.com/game/dragonfire",18,74.00
"E.T. The Extra-Terrestrial",1982,"https://www.mobygames.com/game/et-the-extra-terrestrial_",126,26.00
"Executive Suite",1982,"https://www.mobygames.com/game/executive-suite",17,76.00
"Floppy Frenzy",1982,"https://www.mobygames.com/game/floppy-frenzy",11,54.00
"Frog Bog",1982,"https://www.mobygames.com/game/frog-bog",18,72.00
"Front Line",1982,"https://www.mobygames.com/game/front-line",14,64.00
"Grand Prix",1982,"https://www.mobygames.com/game/grand-prix",11,62.00
"Gravitar",1982,"https://www.mobygames.com/game/gravitar",10,58.00
"The Hobbit",1982,"https://www.mobygames.com/game/hobbit",31,68.00
"Journey Escape",1982,"https://www.mobygames.com/game/journey-escape",10,58.00
"Joust",1982,"https://www.mobygames.com/game/joust",98,70.00
"Jungle Hunt",1982,"https://www.mobygames.com/game/jungle-hunt",64,72.00
"Kangaroo",1982,"https://www.mobygames.com/game/kangaroo",15,58.00
"Megamania",1982,"https://www.mobygames.com/game/megamania",11,68.00
"Microsurgeon",1982,"https://www.mobygames.com/game/microsurgeon",13,90.00
"Millipede",1982,"https://www.mobygames.com/game/millipede",18,60.00
"Miner 2049er",1982,"https://www.mobygames.com/game/miner-2049er",45,78.00
"Moon Patrol",1982,"https://www.mobygames.com/game/moon-patrol",61,70.00
"Mr. Do!",1982,"https://www.mobygames.com/game/mr-do",31,70.00
"Ms. Pac-Man",1982,"https://www.mobygames.com/game/ms-pac-man",270,70.00
"Night Mission Pinball",1982,"https://www.mobygames.com/game/night-mission-pinball",26,70.00
"Night Stalker",1982,"https://www.mobygames.com/game/night-stalker",19,68.00
"Novatron",1982,"https://www.mobygames.com/game/novatron",11,52.00
"Paratrooper",1982,"https://www.mobygames.com/game/paratrooper",11,62.00
"PC-Man",1982,"https://www.mobygames.com/game/pc-man",11,74.00
"Pengo",1982,"https://www.mobygames.com/game/pengo",18,64.00
"Pinball Construction Set",1982,"https://www.mobygames.com/game/pinball-construction-set",20,76.00
"Pitfall!",1982,"https://www.mobygames.com/game/pitfall",117,78.00
"Pole Position",1982,"https://www.mobygames.com/game/pole-position",77,72.00
