"Darkman","https://www.kultboy.com/testbericht-uebersicht/375/",66,,,53,8,,,,,,,,53,46,,45.20,45.20
"Shadow of the Beast","https://www.kultboy.com/testbericht-uebersicht/372/",66,,,90,25,,,,,,,,88,34,62,60.60,60.60
"Arcticfox","https://www.kultboy.com/testbericht-uebersicht/3445/",73,,,,,73,,,,,,,,,,73.00,
"Terra Cresta","https://www.kultboy.com/testbericht-uebersicht/3124/",75,,,,,75,,,,,,,,,81,75.00,
"Klax","https://www.kultboy.com/testbericht-uebersicht/1431/",83,,,94,83,,,,,,,,,87,80,86.75,86.75
"Stunt Car Racer","https://www.kultboy.com/testbericht-uebersicht/352/",74,,,74,75,,,,,,,,,81,87,76.00,76.00
"Turrican","https://www.kultboy.com/testbericht-uebersicht/87/",69,,,87,33,,,,,,,,,70,87,64.75,64.75
"IO","https://www.kultboy.com/testbericht-uebersicht/158/",80,,,,83,80,,,,,,,,,77,81.00,81.00
"Soul Crystal","https://www.kultboy.com/testbericht-uebersicht/1734/",71,,,72,66,,,,,,71,,57,48,84,64.17,64.17
"Curse of the Azure Bonds","https://www.kultboy.com/testbericht-uebersicht/973/",65,,,63,75,,,,,,,,,83,86,71.50,71.50
"Catalypse","https://www.kultboy.com/testbericht-uebersicht/5015/",72,,,,75,,,,,,,,,72,,73.00,73.00
"Space Invasion","https://www.kultboy.com/testbericht-uebersicht/819/",79,,,,80,79,,,,,,,,,83,79.33,79.33
"Neuronics","https://www.kultboy.com/testbericht-uebersicht/3228/",80,,,,,,,,,,,,,,,80.00,
"Conquestador: Szenario Generator","https://www.kultboy.com/testbericht-uebersicht/3230/",80,,,,,,,,,,,,,,,80.00,
"Sword of Honour","https://www.kultboy.com/testbericht-uebersicht/2025/",69,,69,63,,,,,,,,,,60,,65.25,65.25
"Rick Dangerous 2","https://www.kultboy.com/testbericht-uebersicht/301/",73,,,73,66,,,,,,,,,84,77,74.00,74.00
"The Cool Croc Twins","https://www.kultboy.com/testbericht-uebersicht/1076/",71,,,71,83,,,,,,75,,,,,75.00,75.00
"Eon","https://www.kultboy.com/testbericht-uebersicht/3416/",80,,,,,,,,,,,,,,,80.00,
